wyear,species,country,ysw,WNS,years,x_lags,lambda,country2,mlambda,ysw2,lambdaL,ysw3,site
2014,EPFU,us,-3,0,2014,1,2.238636364,us 0,1.012697699,-1,0.349983554,-1,AUTO
2015,EPFU,us,-2,0,2015,1,0.78680203,us 0,1.012697699,-1,-0.104134528,-1,AUTO
2016,EPFU,us,-1,0,2016,1,0.019354839,us 0,1.012697699,-1,-1.713210443,-1,AUTO
2018,EPFU,us,1,1,2018,1,1.64516129,us 1,1.012697699,1,0.216208482,1,AUTO
2019,EPFU,us,2,1,2019,1,1.450980392,us 1,1.012697699,2,0.161661544,2,AUTO
2014,EPFU,us,-2,0,2014,1,1,us 0,1.012697699,-1,0,-1,BEAR
2015,EPFU,us,-1,0,2015,1,1.666666667,us 0,1.012697699,-1,0.22184875,-1,BEAR
2016,EPFU,us,0,1,2016,1,0.5,us 1,1.012697699,0,-0.301029996,0,BEAR
2019,EPFU,us,3,1,2019,1,2.5,us 1,1.012697699,3,0.397940009,3,BEAR
2015,EPFU,us,0,1,2015,1,1.6,us 1,1.012697699,0,0.204119983,0,BEAT
2016,EPFU,us,1,1,2016,1,1.125,us 1,1.012697699,1,0.051152522,1,BEAT
2017,EPFU,us,2,1,2017,1,0.777777778,us 1,1.012697699,2,-0.109144469,2,BEAT
2018,EPFU,us,3,1,2018,1,1.214285714,us 1,1.012697699,3,0.084320886,3,BEAT
2014,EPFU,us,1,1,2014,1,0.4,us 1,1.012697699,1,-0.397940009,1,BLAC
2015,EPFU,us,2,1,2015,1,1.25,us 1,1.012697699,2,0.096910013,2,BLAC
2016,EPFU,us,3,1,2016,1,0.4,us 1,1.012697699,3,-0.397940009,3,BLAC
2014,EPFU,us,-3,0,2014,1,0.65,us 0,1.012697699,-1,-0.187086643,-1,DELL
2015,EPFU,us,-2,0,2015,1,2.692307692,us 0,1.012697699,-1,0.430124692,-1,DELL
2016,EPFU,us,-1,0,2016,1,0.171428571,us 0,1.012697699,-1,-0.765916794,-1,DELL
2019,EPFU,us,2,1,2019,1,1.21686747,us 1,1.012697699,2,0.085243281,2,DELL
2013,EPFU,us,-3,0,2013,18,0.995313384,us 0,1.012697699,-1,-0.002040156,-1,ELRO
2014,EPFU,us,-2,0,2014,1,1.044117647,us 0,1.012697699,-1,0.018749436,-1,ELRO
2015,EPFU,us,-1,0,2015,1,0.554929577,us 0,1.012697699,-1,-0.255762127,-1,ELRO
2016,EPFU,us,0,1,2016,1,1.52284264,us 1,1.012697699,0,0.182655029,0,ELRO
